Тип,Турнир,Город,Количество туров,Контроль времени,Минимальный рейтинг,Изображение,Рейтинг,Просмотры
Swiss,Европа,Минск,11,170,2256,https://upload.chess.org/223444.png,0.0,74467
Swiss,Лондон,Ла,8,89,2209,https://upload.chess.ru/898949.webp,2.0,95078
Swiss,Сент,Ла,6,152,2227,https://upload.chess.com/41596.jpeg,7.0,21507
Swiss,Sinquefield,Камбадос,13,89,2218,https://upload.chess.org/415905.png,7.0,51890
Swiss,Европа,Кордова,10,179,2478,https://upload.chess.org/418904.jpg,4.0,30598
Swiss,Кубок,Подгорица,9,33,2314,https://upload.chess.ru/380265.webp,9.0,53177
Swiss,Гран,Камбадос,7,27,2595,https://upload.chess.com/302619.webp,6.0,31000
Swiss,Реджо,Мадрид,14,33,2254,https://upload.chess.com/409851.png,6.0,73746
Swiss,Мемориал,Ереван,10,157,2560,https://upload.chess.com/184621.png,4.0,15419
Swiss,Балтийская,Прага,11,132,2511,https://upload.chess.org/801617.jpeg,0.0,9774
Swiss,Алушта,Мерида,13,129,2391,https://upload.abc-chess.it/496405.jpeg,2.0,79784
Swiss,Биль,Бургос,9,28,2434,https://upload.abc-chess.it/580977.webp,8.0,93009
Swiss,Цюрих,Сантьяго,10,57,2581,https://upload.chess.ru/47696.png,5.0,18907
Swiss,Реджо,Сан,10,150,2454,https://upload.chess.com/86336.jpeg,7.0,15200
Swiss,Пальма,Тудела,15,146,2431,https://upload.chess.xyz/329335.png,9.0,27532
Swiss,Биль,Эльче,11,104,2298,https://upload.chess.ru/607803.jpg,3.0,87402
Swiss,Цюрих,Санкт,11,106,2470,https://upload.chess.xyz/962822.jpeg,0.0,84294
Swiss,Макартур,Фигерас,12,23,2503,https://upload.chess.com/52278.jpeg,1.0,11677
Swiss,Гашиш,Мартоса,8,120,2516,https://upload.chess.com/819324.png,0.0,39128
Swiss,Биль,Краков,15,98,2357,https://upload.chess.com/23939.svg,4.0,6506
Swiss,Аэрофлот,Варшава,13,144,2592,https://upload.chess.ru/208870.svg,4.0,59005
Swiss,Чемпионат,Льейда,11,174,2608,https://upload.chess.ru/191574.svg,0.0,7382
Swiss,Пойковский,Сьюдад,11,31,2280,https://upload.chess.org/262626.png,5.0,66681
Swiss,Балтийская,Луго,14,108,2277,https://upload.chess.com/693889.png,3.0,50138
Swiss,Цюрих,Фигерас,11,102,2285,https://upload.chess.xyz/733373.jpg,4.0,54749
Swiss,Вена,София,6,109,2271,https://upload.chess.xyz/198832.png,4.0,60441
Swiss,Биль,Белград,14,59,2467,https://upload.chess.xyz/120137.png,6.0,70274
Swiss,Хогевен,Краков,10,136,2364,https://upload.chess.xyz/181503.jpeg,9.0,98998
Swiss,Балтийская,Душанбе,13,137,2271,https://upload.chess.xyz/134930.jpeg,2.0,9214
Swiss,Линарес,Рига,13,161,2436,https://upload.chess.ru/144840.jpg,6.0,64838
Swiss,Цюрих,София,15,180,2349,https://upload.chess.com/543861.svg,3.0,92288
Swiss,Политика,Ереван,13,137,2381,https://upload.chess.org/701526.png,1.0,37368
Swiss,Биль,Гранада,11,34,2230,https://upload.abc-chess.it/802872.jpeg,0.0,8400
Swiss,Гран,Сория,13,143,2367,https://upload.chess.xyz/876739.jpeg,3.0,50449
Swiss,Пальма,Аликанте,12,155,2367,https://upload.chess.ru/688707.png,4.0,61160
Swiss,Линарес,Ташкент,9,104,2233,https://upload.chess.xyz/664114.svg,6.0,79294
Swiss,Цюрих,Тирана,8,179,2598,https://upload.chess.ru/69581.jpeg,3.0,2169
Swiss,Сент,Скопье,9,60,2381,https://upload.chess.xyz/133669.jpeg,3.0,20860
Swiss,Чемпионат,Кадакес,8,79,2636,https://upload.chess.org/616412.png,9.0,45552
Swiss,Линарес,Луго,7,15,2217,https://upload.abc-chess.it/357462.jpg,4.0,57464
Swiss,Sinquefield,Монсон,11,61,2527,https://upload.chess.com/286630.jpg,6.0,53646
Swiss,Сент,Вроцлав,8,54,2613,https://upload.chess.xyz/496830.jpg,7.0,73303
Swiss,Алушта,Лас,9,51,2517,https://upload.chess.xyz/791539.jpg,8.0,45310
Swiss,Макартур,Душанбе,12,45,2549,https://upload.chess.xyz/371742.png,8.0,59587
Swiss,Пальма,Аликанте,9,58,2417,https://upload.chess.xyz/203763.jpg,9.0,45517
Swiss,Вейк,Тарраса,9,115,2235,https://upload.chess.org/833716.svg,1.0,25244
Swiss,Гашиш,Семана,6,103,2627,https://upload.chess.com/972129.jpg,7.0,93245
Swiss,Чемпионат,Бишкек,7,49,2356,https://upload.chess.org/434378.jpeg,4.0,84797
Swiss,Политика,Мерида,7,150,2607,https://upload.chess.org/764983.jpg,4.0,57699
Swiss,Сент,Сория,8,57,2639,https://upload.chess.xyz/363505.png,0.0,83465
Swiss,Цюрих,Валенсия,10,141,2218,https://upload.chess.xyz/596439.svg,9.0,16510
Swiss,Цюрих,Мадрид,12,43,2502,https://upload.chess.com/341927.jpg,7.0,33060
Swiss,Биль,Хельсинки,11,168,2444,https://upload.abc-chess.it/801341.svg,1.0,72473
Swiss,Гран,Хельсинки,15,28,2648,https://upload.abc-chess.it/746151.jpeg,0.0,92577
Swiss,Вена,Хихон,15,18,2208,https://upload.chess.xyz/207840.webp,2.0,14004
Swiss,Ставангер,Любляна,11,87,2454,https://upload.chess.com/804439.webp,1.0,69821
Swiss,Дортмунд,Эльче,6,163,2431,https://upload.chess.org/216513.png,1.0,55477
Swiss,Сент,Хельсинки,8,114,2562,https://upload.chess.ru/276743.png,6.0,52651
Swiss,Аэрофлот,Афины,12,175,2436,https://upload.chess.xyz/49501.jpg,4.0,92735
Swiss,Аэрофлот,Сьюдад,13,178,2417,https://upload.chess.org/563370.png,8.0,56406
Swiss,Тилбург,Хельсинки,6,145,2590,https://upload.chess.com/896425.jpeg,2.0,23950
Swiss,Шамкович,Кордова,9,31,2307,https://upload.abc-chess.it/416988.webp,9.0,79930
Swiss,Балтийская,Хельсинки,11,52,2316,https://upload.chess.ru/661005.svg,0.0,11430
Swiss,Политика,Тирана,12,116,2250,https://upload.chess.ru/305599.svg,7.0,12407
Swiss,Ставангер,Прага,13,113,2592,https://upload.chess.xyz/22428.jpg,0.0,87646
Swiss,Sinquefield,Виго,10,33,2303,https://upload.chess.org/729375.jpeg,5.0,89962
Swiss,Цюрих,Льейда,11,108,2333,https://upload.chess.ru/163362.jpeg,6.0,5625
Swiss,Европа,Монсон,10,97,2225,https://upload.chess.xyz/816152.png,1.0,91347
Swiss,Пойковский,Аликанте,14,86,2203,https://upload.chess.xyz/624439.png,7.0,28525
Swiss,Пойковский,Тирана,7,155,2626,https://upload.chess.xyz/723659.webp,0.0,17367
Swiss,Кубок,Кордова,6,122,2380,https://upload.abc-chess.it/568991.jpg,6.0,74638
Swiss,Тилбург,Эль,11,63,2556,https://upload.chess.ru/389476.png,0.0,82449
Swiss,Аэрофлот,Алькала,15,20,2611,https://upload.chess.org/141032.png,3.0,60683
Swiss,Цюрих,Алма,11,27,2218,https://upload.chess.com/772689.png,2.0,71021
Swiss,Европа,Ереван,13,58,2430,https://upload.abc-chess.it/484257.webp,2.0,71860
Swiss,Хогевен,Авилес,7,18,2596,https://upload.chess.xyz/856862.jpeg,1.0,60344
Swiss,Хогевен,Аликанте,7,109,2498,https://upload.chess.com/780267.webp,9.0,69215
Swiss,Чемпионат,Мерида,7,148,2650,https://upload.chess.com/674755.svg,0.0,65262
Swiss,Ставангер,Малага,13,51,2577,https://upload.abc-chess.it/774653.svg,8.0,99690
Swiss,Балтийская,Рига,13,21,2299,https://upload.chess.xyz/333873.jpeg,6.0,40797
Swiss,Балтийская,Самора,12,138,2569,https://upload.chess.com/750792.jpg,0.0,31362
Swiss,Кубок,Самора,14,51,2480,https://upload.chess.ru/917180.webp,6.0,5214
Swiss,Лондон,Картахена,11,32,2215,https://upload.chess.xyz/832022.jpg,2.0,10866
Swiss,Вена,Семана,6,66,2549,https://upload.chess.org/273555.jpg,5.0,2450
Swiss,Sinquefield,Монсон,7,33,2276,https://upload.chess.ru/678447.jpeg,8.0,33937
Swiss,Мемориал,Будапешт,10,166,2417,https://upload.chess.ru/146590.svg,4.0,20777
Swiss,Макартур,Овьедо,8,115,2409,https://upload.chess.ru/279226.png,4.0,68261
Swiss,Сент,Авилес,11,103,2309,https://upload.chess.org/468740.jpeg,3.0,84035
