Name,Url,Image,Price,Bonus,processor,ram,resolution,camera,sim,matrix,acc
"6.4"" Toshiba 80GB",/product/27395,/upload/181748.jpeg,13397,133,,,,60 MP,,,3199 мА * ч
"5.9"" Lenovo 64GB",/product/99809,/upload/92482.svg,17825,178,2x2.5 ГГц,7 GB,1280x1440,93 MP,4 SIM,IPS,
"5.6"" Apple 48GB",/product/28358,/upload/893227.jpg,18160,181,4x4.3 ГГц,10 GB,1024x1440,31 MP,,AMOLED,4318 мА * ч
"5.8"" Marvell 176GB",/product/83397,/upload/84398.png,13804,138,,5 GB,,,,IPS,
"5.9"" SanDisk 192GB",/product/96038,/upload/467765.jpg,10749,107,,,1920x2160,58 MP,4 SIM,,
"5.6"" Nokia 128GB",/product/20773,/upload/350986.png,15180,151,,8 GB,1600x1440,,,,
"5.2"" Lenovo 176GB",/product/82514,/upload/22228.png,14462,144,6x4.9 ГГц,10 GB,,,1 SIM,OLED,
"5.9"" Samsung S21 144GB",/product/73014,/upload/58589.jpeg,13475,134,6x1.6 ГГц,,2560x1366,50 MP,,OLED,
"5.1"" Blackberry 48GB",/product/96767,/upload/646448.jpg,12378,123,4x1.8 ГГц,11 GB,1366x1440,89 MP,3 SIM,IPS,2898 мА * ч
"5.6"" OPPO 128GB",/product/54817,/upload/31116.png,12656,126,,16 GB,1366x1200,18 MP,,,
"6.5"" Hewlett-Packard 112GB",/product/38862,/upload/712548.png,18379,183,6x1.6 ГГц,,,99 MP,3 SIM,AMOLED,5729 мА * ч
"6.2"" Seagate 64GB",/product/81845,/upload/129895.jpg,11815,118,,10 GB,2560x1200,,,OLED,
"6.7"" HGST 32GB",/product/24009,/upload/71497.webp,18528,185,,,,64 MP,2 SIM,,
"6.8"" Asus 192GB",/product/73836,/upload/644445.jpg,11177,111,2x1.9 ГГц,,,70 MP,,IPS,6981 мА * ч
"6.0"" Google Pixel 16GB",/product/62819,/upload/624782.png,17711,177,6x3.0 ГГц,,1920x2160,93 MP,3 SIM,IPS,6482 мА * ч
"7.2"" Samsung 256GB",/product/58955,/upload/250865.webp,10535,105,6x4.8 ГГц,,1024x1080,37 MP,2 SIM,,6210 мА * ч
"6.8"" Corsair 240GB",/product/37101,/upload/156493.png,13733,137,6x2.1 ГГц,,,41 MP,1 SIM,,
"7.3"" Microsoft 48GB",/product/95318,/upload/865304.png,18773,187,,9 GB,,,3 SIM,AMOLED,
"5.4"" Corsair 256GB",/product/77740,/upload/791836.webp,10664,106,,10 GB,1024x1440,99 MP,,,5821 мА * ч
"6.2"" Microsoft 48GB",/product/22047,/upload/887287.jpg,17233,172,8x2.3 ГГц,,,39 MP,,AMOLED,2124 мА * ч
"6.4"" ADATA 112GB",/product/89709,/upload/716336.png,14619,146,8x1.7 ГГц,13 GB,1024x1366,119 MP,1 SIM,IPS,3529 мА * ч
"6.9"" Texas Instruments 176GB",/product/25612,/upload/465387.jpeg,16505,165,8x1.4 ГГц,,1600x1366,98 MP,,OLED,
"6.1"" Acer 224GB",/product/60468,/upload/135728.svg,10622,106,6x1.8 ГГц,11 GB,1366x1440,20 MP,3 SIM,,5187 мА * ч
"5.3"" AMD 64GB",/product/69603,/upload/926992.webp,10482,104,6x1.6 ГГц,5 GB,,,2 SIM,OLED,
"5.4"" Lenovo 240GB",/product/76872,/upload/316079.svg,12695,126,4x5.0 ГГц,,,,1 SIM,IPS,
"7.4"" Xilinx 64GB",/product/34891,/upload/828959.jpg,18607,186,6x1.8 ГГц,,2560x1366,,3 SIM,,5778 мА * ч
"5.2"" Seagate 144GB",/product/43840,/upload/772058.jpeg,12502,125,4x4.6 ГГц,12 GB,,41 MP,3 SIM,OLED,7190 мА * ч
"7.2"" Dell 16GB",/product/62803,/upload/991078.jpg,16030,160,,15 GB,,,4 SIM,IPS,
"7.5"" Toshiba 160GB",/product/80551,/upload/4240.webp,14834,148,,,1600x768,48 MP,1 SIM,IPS,6835 мА * ч
"5.8"" Xilinx 112GB",/product/69969,/upload/147410.png,11776,117,4x4.5 ГГц,,1366x1080,,,,
"6.6"" NVIDIA 240GB",/product/71992,/upload/922035.png,13727,137,4x2.1 ГГц,10 GB,1280x1200,,3 SIM,,3773 мА * ч
"5.0"" LG 128GB",/product/32342,/upload/271475.png,16466,164,4x1.3 ГГц,11 GB,,64 MP,1 SIM,,2060 мА * ч
"6.3"" SanDisk 112GB",/product/11437,/upload/912634.webp,14906,149,,4 GB,,,,,5301 мА * ч
"6.1"" SanDisk 32GB",/product/33384,/upload/258526.png,18250,182,2x2.1 ГГц,8 GB,,57 MP,4 SIM,,
"6.9"" HTC 224GB",/product/87923,/upload/457720.png,14556,145,2x1.8 ГГц,,,89 MP,,OLED,
"7.5"" Gigabyte 48GB",/product/40080,/upload/31898.svg,18037,180,6x3.7 ГГц,11 GB,1024x2160,117 MP,2 SIM,OLED,2915 мА * ч
"5.7"" Gigabyte 144GB",/product/42905,/upload/431693.jpeg,11809,118,8x3.1 ГГц,,,68 MP,4 SIM,AMOLED,6665 мА * ч
