name,constellation,spectral-class,radius,rotation,age,distance,absolute-magnitude
Канопус 4694,Рак,V4Z,51120774.0,977.55 days,3.09 billion years,2941829.5 million km,7.32 million km
Фомальгаут 4675,Рак,T8P,947707300.0,838.27 days,4.01 billion years,738705.63 million km,2.64 million km
Бетельгейзе 1035,Рак,V1Z,898499324.0,687.1 days,0.51 billion years,2219894.53 million km,6.1 million km
Фомалхаут 8824,Рак,S7X,467070378.0,626.22 days,4.4 billion years,8327413.67 million km,4.2 million km
Акрукс 4411,Рак,O9Z,216885608.0,173.2 days,4.8 billion years,7702399.58 million km,2.05 million km
Ригель 3272,Рак,S4N,494717196.0,862.23 days,5.06 billion years,5670685.55 million km,1.41 million km
Фомалхаут 4537,Рак,I3H,510595728.0,820.65 days,4.45 billion years,8304408.76 million km,5.42 million km
Полярная звезда 8097,Рак,R8D,305791568.0,710.27 days,3.52 billion years,7856916.0 million km,1.04 million km
Фомалхаут 3660,Рак,N5R,449314943.0,42.28 days,3.8 billion years,4736793.73 million km,6.64 million km
Фомалхаут 2085,Рак,W6Q,791399324.0,602.73 days,2.2 billion years,2330632.68 million km,4.69 million km
Полярная звезда 9547,Рак,F2I,918214769.0,666.02 days,3.3 billion years,8558092.08 million km,1.08 million km
Альфа Центавра 2770,Рак,B9W,608286036.0,372.44 days,2.75 billion years,1477897.35 million km,1.37 million km
Фомалхаут 8706,Рак,G3W,511224601.0,84.12 days,5.78 billion years,3230523.72 million km,2.65 million km
Хадар 3466,Рак,D5S,395993347.0,989.77 days,4.64 billion years,3467781.19 million km,4.37 million km
Антарес 7192,Рак,A0P,728750503.0,879.02 days,4.46 billion years,1548814.21 million km,6.15 million km
Полярная звезда 3020,Рак,V8P,312849496.0,548.64 days,2.39 billion years,5415859.74 million km,5.59 million km
Ригель 5571,Рак,L4G,474333468.0,342.68 days,3.3 billion years,1201054.85 million km,9.45 million km
Акрукс 6583,Рак,E2G,442551551.0,639.72 days,1.11 billion years,4024823.1 million km,6.93 million km
Полярная звезда 2641,Рак,B1L,339055896.0,251.12 days,4.13 billion years,2856050.03 million km,4.62 million km
Бетельгейзе 6397,Рак,Z4D,638559651.0,930.46 days,0.2 billion years,2963915.25 million km,9.57 million km
Канопус 6002,Рак,O4Z,309660102.0,993.57 days,2.46 billion years,2903891.77 million km,9.52 million km
Альфа Центавра 6856,Рак,K7F,195671151.0,454.22 days,2.03 billion years,3638442.91 million km,6.46 million km
Полярная звезда 5655,Рак,C4W,62165451.0,369.59 days,2.63 billion years,324448.25 million km,6.97 million km
Ригель 8310,Рак,B3W,701907143.0,669.19 days,5.4 billion years,5352208.3 million km,8.4 million km
Альфа Центавра 2578,Рак,B9V,958406100.0,835.19 days,2.42 billion years,4200729.68 million km,6.0 million km
Вега 8131,Рак,Y3F,934946269.0,283.44 days,5.31 billion years,8257163.34 million km,2.79 million km
Антарес 4609,Рак,D3V,574741598.0,667.06 days,3.25 billion years,1635415.23 million km,3.58 million km
Солнце 2738,Рак,A9K,923837401.0,424.23 days,0.25 billion years,1702275.91 million km,3.25 million km
Ригель 8012,Рак,G0S,645573920.0,881.37 days,5.06 billion years,8383697.63 million km,6.37 million km
Канопус 4746,Рак,C5E,528409754.0,883.36 days,0.19 billion years,9413664.38 million km,9.02 million km
Ригель 3399,Рак,C3M,797305575.0,331.1 days,4.11 billion years,8415244.94 million km,7.8 million km
Антарес 2836,Рак,T0X,132269469.0,76.15 days,1.71 billion years,4252516.83 million km,6.48 million km
Фомальгаут 2962,Рак,L1I,880137050.0,18.11 days,0.06 billion years,3609896.85 million km,1.11 million km
Вега 8337,Рак,J6A,940293923.0,232.89 days,4.41 billion years,1915174.61 million km,2.57 million km
Полярная звезда 2684,Рак,E8X,857875931.0,293.43 days,1.52 billion years,9427416.74 million km,7.46 million km
Ригель 7084,Рак,R9P,173549028.0,805.78 days,2.52 billion years,2952263.91 million km,8.15 million km
Солнце 3526,Рак,K3U,589468401.0,875.27 days,0.81 billion years,2902219.14 million km,3.67 million km
Канопус 9884,Рак,V2A,16273973.0,164.08 days,4.32 billion years,7656959.68 million km,8.42 million km
Антарес 2164,Рак,N2K,985612161.0,761.26 days,2.54 billion years,645184.96 million km,7.68 million km
Вега 6033,Рак,W7A,995301235.0,597.83 days,5.54 billion years,7380155.84 million km,2.63 million km
Антарес 3562,Рак,M4N,927976819.0,247.37 days,1.72 billion years,5522105.92 million km,3.42 million km
Альфа Центавра 7365,Рак,Z0B,184783585.0,336.56 days,0.78 billion years,308975.46 million km,3.84 million km
Фомальгаут 4651,Рак,C2V,329976769.0,439.49 days,1.69 billion years,7905089.01 million km,6.2 million km
Альфа Центавра 4975,Рак,G1C,227139172.0,597.91 days,1.03 billion years,322449.68 million km,7.89 million km
Вега 2461,Рак,E4R,939150348.0,232.46 days,3.98 billion years,6608489.18 million km,9.24 million km
Вега 2534,Рак,X7Q,454153274.0,469.72 days,3.12 billion years,2831331.74 million km,6.82 million km
Антарес 6774,Рак,G1C,114024503.0,966.55 days,5.62 billion years,3241837.88 million km,5.05 million km
