id,name,category,size,color,material,price,rating,reviews,exclusive,sporty,new
368869118,Fila Gloves M-4856,Gloves,XXL,Желтый,Лен,846143,4.92,198172,,no,
227197183,Reebok Jeans I-6672,Jeans,L,Синий,Кожа,437817,5.0,544393,no,,-
750267190,Adidas Socks S-7824,Socks,L,Зеленый,Шелк,551191,4.94,242555,yes,,-
135979349,Under Armour Handbags D-6591,Handbags,M,Красный,Полиэстер,404620,4.97,674727,yes,,-
758572480,New Balance Pants K-8329,Pants,XL,Оранжевый,Кожа,310698,4.95,587270,,yes,
868850186,Lacoste Jacket R-3680,Jacket,XL,Красный,Шерсть,266866,4.97,984836,no,yes,-
225802565,Adidas Sweater H-5291,Sweater,XL,Голубой,Вискоза,493605,4.99,89623,no,,
349912244,Nike Skirt L-3934,Skirt,S,Красный,Шерсть,405364,4.92,98932,no,no,+
819334930,Addidas Sweater T-8927,Sweater,S,Желтый,Нейлон,918180,4.94,502341,no,no,-
198449659,Asics Shoes Q-5153,Shoes,XL,Оранжевый,Полиэстер,736070,4.94,502113,no,,-
308112749,New Balance Belts B-3058,Belts,XL,Зеленый,Хлопок,544346,4.91,90355,no,yes,
156523329,Puma Dress S-4181,Dress,XL,Оранжевый,Шерсть,230470,5.0,957668,yes,,
412053689,PleinSport Socks S-1775,Socks,L,Фиолетовый,Хлопок,861421,4.9,285672,yes,yes,-
499579562,Converse Socks P-8330,Socks,XXL,Фиолетовый,Нейлон,726132,4.92,110791,,no,-
782570371,Vans Jeans X-6545,Jeans,M,Красный,Кожа,683555,4.92,163368,yes,,-
496237453,Nike Belts X-1750,Belts,M,Фиолетовый,Шерсть,626696,4.92,627351,no,no,-
850180692,New Balance Belts L-5927,Belts,XL,Красный,Нейлон,176081,4.98,322228,,,+
500994147,PleinSport T-shirt V-8456,T-shirt,L,Желтый,Хлопок,440354,5.0,519113,no,no,-
372593985,Lacoste Handbags I-3516,Handbags,XL,Фиолетовый,Лен,964619,4.9,87104,yes,no,-
456645295,Converse Dress G-4598,Dress,XL,Желтый,Нейлон,613254,4.91,871840,,no,
976204475,Nike Shoes D-6671,Shoes,S,Синий,Полиэстер,717235,5.0,56585,yes,,-
613645592,Reebok Shoes R-1874,Shoes,XXL,Красный,Вискоза,358008,5.0,348785,,,
813534826,Brooks Umbrellas Q-6125,Umbrellas,S,Фиолетовый,Шелк,844165,4.93,316007,yes,no,-
484116473,Vans Skirt V-1616,Skirt,M,Синий,Нейлон,948276,4.99,152249,yes,,-
402740877,PleinSport Blouse C-3631,Blouse,M,Желтый,Хлопок,869550,4.9,803477,yes,,-
720966881,Under Armour Gloves C-7376,Gloves,S,Голубой,Нейлон,527857,5.0,529804,yes,,-
923731665,Nike Pants J-8600,Pants,L,Фиолетовый,Кожа,190411,4.91,104157,,,-
274501061,Ellesse Jacket X-9915,Jacket,S,Голубой,Вискоза,473560,4.98,873458,,no,
986464930,PleinSport Hat P-9765,Hat,M,Голубой,Вискоза,894651,4.98,266198,,,+
794813915,Nike Gloves D-1443,Gloves,L,Синий,Нейлон,831773,4.97,523539,yes,,+
808917905,Reebok Dress Q-5494,Dress,L,Зеленый,Полиэстер,799757,5.0,111769,no,yes,+
766361407,Lacoste Jacket P-2666,Jacket,XL,Желтый,Шерсть,620203,4.92,737802,yes,no,-
754858511,Nike Gloves W-1703,Gloves,S,Голубой,Шелк,563933,4.92,433034,no,,
777774716,Ellesse Jeans E-4534,Jeans,L,Фиолетовый,Лен,815732,4.96,901661,no,yes,-
615379618,Ellesse Jacket Y-9015,Jacket,XL,Фиолетовый,Хлопок,217399,4.94,502190,no,no,-
608936142,Adidas Jacket R-5028,Jacket,XXL,Зеленый,Лен,548847,4.96,445548,,no,
557122166,Converse Handbags I-9050,Handbags,L,Голубой,Нейлон,800238,4.97,598309,,,
493823965,Brooks Blouse G-8581,Blouse,S,Синий,Кожа,145021,4.99,381375,no,,
243667909,Nike Sweater D-4461,Sweater,M,Оранжевый,Кожа,158109,4.91,29230,yes,yes,-
716351756,Puma Gloves I-2442,Gloves,XL,Фиолетовый,Вискоза,550475,4.93,46819,,,
821315377,Addidas Skirt L-8095,Skirt,XXL,Голубой,Шелк,830152,4.98,273532,,no,-
844968495,Nike Hat R-4120,Hat,XL,Оранжевый,Хлопок,197165,4.93,112108,no,no,
870495150,Converse Dress X-4788,Dress,XL,Желтый,Вискоза,417268,4.99,721404,yes,,+
103587860,Fila Hat Z-1267,Hat,S,Желтый,Шерсть,154901,4.94,549223,,no,
629127585,Brooks Hat Q-6219,Hat,L,Оранжевый,Лен,672048,4.92,611835,,,+
296921943,Puma Socks U-7022,Socks,XXL,Желтый,Лен,656640,4.92,134064,,no,
437281157,Lacoste Hat J-9280,Hat,M,Красный,Шерсть,841956,4.93,895745,yes,no,-
561710591,Under Armour Shoes V-7193,Shoes,L,Оранжевый,Шелк,121605,4.96,214860,no,no,+
202178339,Ellesse Belts L-5309,Belts,S,Красный,Вискоза,247253,4.99,969047,no,no,
215838428,New Balance Shoes Z-1749,Shoes,XXL,Голубой,Лен,739566,4.94,614126,yes,no,
608843178,Under Armour Shoes F-5809,Shoes,XL,Синий,Полиэстер,342859,4.94,726272,,yes,-
874734972,Converse Socks I-7101,Socks,XL,Красный,Лен,701985,4.97,440708,,,
440242151,Addidas Belts U-3489,Belts,S,Желтый,Хлопок,497220,4.94,290826,,,-
156068836,Ellesse Shirt O-7474,Shirt,L,Оранжевый,Вискоза,367991,4.95,998470,,yes,-
952665356,Addidas Shoes X-6813,Shoes,M,Желтый,Нейлон,511157,4.92,60134,no,,
500432679,Adidas Jeans P-6858,Jeans,XXL,Фиолетовый,Полиэстер,413904,4.99,725717,yes,,
581860152,Converse Jeans F-3475,Jeans,XL,Фиолетовый,Лен,502718,4.94,696291,,yes,+
785564327,Under Armour Pants E-1198,Pants,XL,Красный,Лен,398017,4.93,524313,,no,-
783245252,PleinSport Sweater J-8434,Sweater,XL,Фиолетовый,Шелк,477920,4.92,538119,no,yes,
956797659,Fila Pants X-1397,Pants,M,Голубой,Нейлон,831705,4.91,719173,yes,yes,
630586259,Puma Pants Z-5449,Pants,M,Голубой,Шерсть,616527,4.95,122372,,yes,-
943952161,Brooks T-shirt N-8662,T-shirt,XXL,Желтый,Полиэстер,481734,4.91,81382,no,no,+
203949067,Adidas Hat K-5631,Hat,L,Фиолетовый,Полиэстер,535747,4.96,161078,yes,yes,
443702062,Ellesse Jeans B-4535,Jeans,XXL,Фиолетовый,Шерсть,160515,4.98,187608,,yes,-
803382558,Reebok Umbrellas Q-9150,Umbrellas,S,Оранжевый,Лен,501928,4.95,91518,,,
295337317,Asics Socks F-9598,Socks,M,Желтый,Кожа,761543,4.93,35817,,yes,-
